message_id,message content,topic 1,confidence 1,topic 2,confidence 2,predicted topic,predicted confidence
1351193320277409802,barg good but only in competent gang,Ships,0.9,Gameplay,0.7,Balance,0.9
1361968021538607147,In fact I think Caldari bs takes higher significance for nightmare imo,Ships,0.9,Gameplay,0.7,Ships,0.95
1361968328297545768,I'm not going to undock a damn nightmare without Caldari bs 5,Ships,0.9,Items,0.7,Ships,0.95
1361967840487407617,Nano oracle is super sigma,Ships,0.9,Units,0.7,Ships,0.95
1361253191211024575,"You CANT play eve without dieing,  you CANT become good without dieing, absolutly no ship will survive forever and all ships trend torwards theyr death",Ships,0.9,Gameplay,0.9,Gameplay,0.95
1361941269877751819,edencom marauder when,Units,0.9,Ships,0.9,Ships,0.9
1361967757494714499,And amarr battleship 💀,Units,0.9,Ships,0.9,Ships,0.95
1361976186825211917,If you want better tracking for a minmatar AF kiter. Just do kite Jaguar,Gameplay,0.9,Ships,0.9,Gameplay,0.95
1361253579234742383,"One large yields on a good place 45k lp, thats plenty enough to replace a lot of t1 destroyers, whats the fucking problem",Items,0.9,Economy,0.9,Economy,0.95
1361975932533084220,But if you wanna AC kite might as well vaga,Items,0.9,Ships,0.9,Gameplay,0.95
1361976234258731038,Terrible ship,Items,0.9,Ships,0.9,Ships,0.99
1361969612652281968,Soct niches are too small and they're not jack of all trades,Items,0.9,Ships,0.9,Balance,0.95
1351183681422889043,This ship has way too little fitting for the amount of slots it has,Ships,0.9,Balance,0.9,Ships,0.95
1361320269817577663,The issue with the tengu is it’s hard to disengage from a fight,Gameplay,0.9,Ships,0.9,Ships,0.9
1361975702240366744,If I have to fight from more than 20km I wouldn't bring in wolf would i,Gameplay,0.9,Items,0.9,Gameplay,0.95
1361944701132865536,"what does the ""rival group"" which is the antithesis to the trigs get?",Ships,0.9,Units,0.9,Story,0.95
1358365993096708136,i also primarily fly ships i like the look of,Ships,0.9,Gameplay,0.7,Ships,0.85
1361944724587544619,"a frigate, a cruiser, and a battleship....",Ships,0.9,Units,0.9,Ships,0.95
1361968489341915186,paladin is pretty great and rev navy/deemer pipeline,Items,0.9,Ships,0.9,Ships,0.95
1361975470069121024,Arty Wolf?,Units,0.9,Ships,0.9,Ships,0.9
1361975321318129835,2 mid frigate brawler... ouch...,Ships,0.9,Gameplay,0.7,Ships,0.9
1348624215150039094,Well EDENCOM ships were made to defeat Trig ships in the lore,Story,0.9,Ships,0.9,Ships,0.95
1361238448643637433,I mean without being able to use T2 guns I would only run neut ships for pvp or kitey ones,Gameplay,0.9,Ships,0.9,Gameplay,0.9
